order_id,customer_id,order_date,customer_first_name,customer_last_name,city,customer_segment,sales_channel,product,quantity,unit_price,discount,shipping_fee,tax_rate,cost_per_unit,campaign,payment_method,order_status,sales_rep,total_amount,gross_amount
ORD-0005838,C10913,2024-03-27 00:00:00,Chloe,Naidoo,Cape Town,Consumer,Store,Keyboard,3.0,429.6,0.05,99.32,0.15,310.67,None,EFT,Completed,Rep C,1507.32,
ORD-0003746,C10344,2024-11-25 00:00:00,Fatima,Khumalo,Benoni,Small Business,Marketplace,SSD,1.0,1817.4,0.0,98.97,0.15,1272.7,None,Cash,Returned,,2188.98,
ORD-0001771,C10474,2024-09-14 00:00:00,Priya,Nkosi,Pretoria,Consumer,Marketplace,SSD,4.0,2079.13,0.2,52.72,0.15,1637.88,None,Card,Pending,,7703.93,
ORD-0002839,C11037,2025-03-05 00:00:00,Fatima,Mthembu,Benoni,Corporate,Online,Tablet,1.0,6889.86,0.08,135.16,0.15,5472.13,None,Mobile Wallet,Completed,,7424.63,6889.86
ORD-0000629,C11634,2024-09-09 00:00:00,Lerato,Khumalo,Pretoria,Corporate,Online,Laptop,4.0,21067.91,0.0,31.42,0.15,12375.85,None,Card,Returned,,96943.79,
ORD-0003739,C10181,05 Nov 2024,Daniel,Naidoo,Bloemfontein,Small Business,Online,Printer,3.0,3112.57,0.0,61.14,0.15,2383.49,Summer Sale,Bank Transfer,Completed,,10799.51,
ORD-0000017,C10533,2024-05-09 00:00:00,Aisha,Mthembu,Polokwane,Consumer,Online,Headset,2.0,1971.24,0.08,167.94,0.15,1340.83,None,EFT,Returned,,4339.09,
ORD-0002868,C12947,2024-02-10 00:00:00,Andile,Nkosi,Durban,Small Business,Marketplace,Keyboard,6.0,417.08,0.1,128.64,0.15,290.29,New Customer,Mobile Wallet,Pending,,2718.71,
ORD-0002446,C11466,2025-04-24 00:00:00,Megan,Dlamini,Bloemfontein,Corporate,Store,Tablet,2.0,9763.33,0.2,97.64,0.15,6393.16,None,EFT,Completed,Rep E,18062.17,
ORD-0001666,C12259,2024-06-16 00:00:00,Siyanda,Mthembu,Bloemfontein,Consumer,Marketplace,Keyboard,2.0,1187.79,0.08,87.07,0.15,1015.58,New Customer,Card,Completed,,2600.43,
ORD-0002822,C11998,2024-10-21 00:00:00,Nomsa,Mokoena,Nelspruit,Corporate,Online,Router,1.0,1658.74,0.0,202.68,0.15,1160.5,None,Card,Completed,,2110.23,
ORD-0002730,C10008,2025-01-24 00:00:00,Megan,Patel,Johannesburg,Small Business,Online,Headset,3.0,715.13,,1.91,0.15,564.9,None,Mobile Wallet,Completed,,1975.66,
ORD-0000168,C11829,2025-12-17 00:00:00,Fatima,Naidoo,Polokwane,Consumer,Online,Keyboard,1.0,1110.89,0.0,170.5,0.15,657.85,None,Card,Completed,,1448.03,
